Date,close_Pulp,open_Pulp,high_Pulp,low_Pulp
2018-02-21,65.42,65.05,65.53,64.4
2018-02-22,66.39,64.91,66.56,64.62
2018-02-23,67.31,66.3,67.37,65.79
2018-02-24,67.31,66.3,67.37,65.79
2018-02-25,67.31,66.3,67.37,65.79
2018-02-26,67.5,67.29,67.9,66.72
2018-02-27,66.63,67.57,67.61,66.32
2018-02-28,65.78,66.41,66.87,65.43
2018-03-01,63.83,64.57,65.04,63.19
2018-03-02,64.37,64.07,64.64,63.2
2018-03-03,64.37,64.07,64.64,63.2
2018-03-04,64.37,64.07,64.64,63.2
2018-03-05,65.54,64.65,65.88,64.1
2018-03-06,65.79,65.74,66.16,65.3
2018-03-07,64.34,65.23,65.8,63.83
2018-03-08,63.61,64.51,64.56,63.43
2018-03-09,65.49,63.93,65.63,63.69
2018-03-10,65.49,63.93,65.63,63.69
2018-03-11,65.49,63.93,65.63,63.69
2018-03-12,64.95,65.5,65.86,64.18
2018-03-13,64.64,64.92,65.68,64.05
2018-03-14,64.89,64.73,65.21,64.06
2018-03-15,65.12,64.9,65.38,64.61
2018-03-16,66.21,65.07,66.42,64.88
2018-03-17,66.21,65.07,66.42,64.88
2018-03-18,66.21,65.07,66.42,64.88
2018-03-19,66.05,66.01,66.39,65.39
2018-03-20,67.42,66.15,67.88,66.15
2018-03-21,69.47,67.61,69.86,67.48
2018-03-22,68.91,69.63,69.7,68.58
2018-03-23,70.45,69.11,70.57,68.87
2018-03-24,70.45,69.11,70.57,68.87
2018-03-25,70.45,69.11,70.57,68.87
2018-03-26,70.12,70.43,71.05,69.67
2018-03-27,70.11,70.13,71.03,69.45
2018-03-28,69.53,69.72,70.25,68.78
2018-03-29,70.27,69.86,70.44,69.1
2018-03-30,70.27,69.86,70.44,69.1
2018-03-31,70.27,69.86,70.44,69.1
2018-04-01,70.27,69.86,70.44,69.1
2018-04-02,67.64,69.32,70.04,67.49
2018-04-03,68.12,67.63,68.46,67.62
2018-04-04,68.02,68.15,68.28,66.69
2018-04-05,68.33,68.36,68.93,67.73
2018-04-06,67.11,68.09,68.62,66.86
2018-04-07,67.11,68.09,68.62,66.86
2018-04-08,67.11,68.09,68.62,66.86
2018-04-09,68.65,67.1,68.8,67.0
2018-04-10,71.04,68.46,71.34,68.46
2018-04-11,72.06,71.03,73.09,70.57
2018-04-12,72.02,72.09,72.49,71.1
2018-04-13,72.58,71.94,72.88,71.56
2018-04-14,72.58,71.94,72.88,71.56
2018-04-15,72.58,71.94,72.88,71.56
2018-04-16,71.42,72.7,72.85,71.11
2018-04-17,71.58,71.65,71.89,70.83
2018-04-18,73.48,71.72,73.93,71.66
2018-04-19,73.78,73.72,74.75,73.46
2018-04-20,74.06,73.94,74.2,72.83
2018-04-21,74.06,73.94,74.2,72.83
2018-04-22,74.06,73.94,74.2,72.83
2018-04-23,74.71,73.77,75.1,73.13
2018-04-24,73.86,75.09,75.47,73.68
2018-04-25,74.0,74.0,74.19,73.17
2018-04-26,74.74,74.23,74.97,74.11
2018-04-27,74.64,74.72,75.03,74.35
2018-04-28,74.64,74.72,75.03,74.35
2018-04-29,74.64,74.72,75.03,74.35
2018-04-30,75.17,74.62,75.41,73.47
2018-05-01,73.13,74.65,74.98,72.74
2018-05-02,73.36,73.28,73.63,72.38
2018-05-03,73.62,73.07,74.09,72.47
2018-05-04,74.87,73.74,75.08,73.24
2018-05-05,74.87,73.74,75.08,73.24
2018-05-06,74.87,73.74,75.08,73.24
2018-05-07,76.17,75.0,76.34,74.83
2018-05-08,74.85,75.6,76.18,73.1
2018-05-09,77.21,76.19,77.43,76.08
2018-05-10,77.47,77.44,78.0,76.51
2018-05-11,77.12,77.55,77.6,76.95
2018-05-12,77.12,77.55,77.6,76.95
2018-05-13,77.12,77.55,77.6,76.95
2018-05-14,78.23,77.05,78.53,76.55
2018-05-15,78.43,78.42,79.47,77.9
2018-05-16,79.28,78.1,79.35,77.61
2018-05-17,79.3,79.26,80.5,79.12
2018-05-18,78.51,79.46,79.87,78.33
2018-05-19,78.51,79.46,79.87,78.33
2018-05-20,78.51,79.46,79.87,78.33
2018-05-21,79.22,78.61,79.59,78.1
2018-05-22,79.57,79.36,80.49,79.16
2018-05-23,79.8,79.47,79.85,78.21
2018-05-24,78.79,79.65,79.78,78.57
2018-05-25,76.44,78.82,78.88,76.01
2018-05-26,76.44,78.82,78.88,76.01
2018-05-27,76.44,78.82,78.88,76.01
2018-05-28,75.3,76.11,76.17,74.49
2018-05-29,75.39,75.82,76.2,74.54
2018-05-30,77.5,75.37,77.73,74.81
2018-05-31,77.59,77.37,78.75,77.04
2018-06-01,76.79,77.71,77.95,76.35
2018-06-02,76.79,77.71,77.95,76.35
2018-06-03,76.79,77.71,77.95,76.35
2018-06-04,75.29,76.66,76.95,75.2
2018-06-05,75.38,75.4,75.74,73.81
2018-06-06,75.36,75.19,76.25,74.46
2018-06-07,77.32,75.88,77.45,75.44
2018-06-08,76.46,77.39,77.61,76.12
2018-06-09,76.46,77.39,77.61,76.12
2018-06-10,76.46,77.39,77.61,76.12
2018-06-11,76.46,76.3,76.84,75.52
2018-06-12,75.88,76.5,77.07,75.43
2018-06-13,76.74,75.4,76.87,75.26
2018-06-14,75.94,76.56,76.92,75.76
2018-06-15,73.44,75.98,76.06,73.0
2018-06-16,73.44,75.98,76.06,73.0
2018-06-17,73.44,75.98,76.06,73.0
2018-06-18,75.34,73.06,75.49,72.45
2018-06-19,75.08,75.24,75.55,74.45
2018-06-20,74.74,75.2,75.86,74.1
2018-06-21,73.05,74.46,74.69,72.93
2018-06-22,75.55,73.24,75.83,73.24
2018-06-23,75.55,73.24,75.83,73.24
2018-06-24,75.55,73.24,75.83,73.24
2018-06-25,74.73,74.8,75.13,73.74
2018-06-26,76.31,74.74,76.72,74.13
2018-06-27,77.62,76.54,78.16,76.28
2018-06-28,77.85,77.5,78.42,77.09
2018-06-29,79.44,77.79,79.7,77.45
2018-06-30,79.44,77.79,79.7,77.45
2018-07-01,79.44,77.79,79.7,77.45
2018-07-02,77.3,78.55,78.95,77.16
2018-07-03,77.76,77.4,78.55,76.67
2018-07-04,78.24,77.89,78.28,77.61
2018-07-05,77.39,78.14,78.5,77.3
2018-07-06,77.11,77.57,77.68,76.36
2018-07-07,77.11,77.57,77.68,76.36
2018-07-08,77.11,77.57,77.68,76.36
2018-07-09,78.07,77.21,78.31,77.04
2018-07-10,78.86,78.25,79.51,78.15
2018-07-11,73.4,78.78,78.83,73.04
2018-07-12,74.45,74.17,75.1,72.67
2018-07-13,75.33,74.34,75.93,73.22
2018-07-14,75.33,74.34,75.93,73.22
2018-07-15,75.33,74.34,75.93,73.22
2018-07-16,71.84,74.92,75.37,71.52
2018-07-17,72.16,72.01,72.78,71.35
2018-07-18,72.9,71.74,73.28,71.19
2018-07-19,72.58,73.06,73.79,71.83
2018-07-20,73.07,72.65,73.47,72.26
2018-07-21,73.07,72.65,73.47,72.26
2018-07-22,73.07,72.65,73.47,72.26
2018-07-23,73.06,73.22,74.5,72.52
2018-07-24,73.44,72.91,74.0,72.68
2018-07-25,73.93,73.7,74.6,73.07
2018-07-26,74.54,74.37,74.83,73.77
2018-07-27,74.29,74.5,74.85,73.83
2018-07-28,74.29,74.5,74.85,73.83
2018-07-29,74.29,74.5,74.85,73.83
2018-07-30,74.97,74.31,75.27,74.14
2018-07-31,74.25,74.93,75.1,74.14
2018-08-01,72.39,74.07,74.12,72.13
2018-08-02,73.45,72.42,73.75,71.84
2018-08-03,73.21,73.37,73.73,72.48
2018-08-04,73.21,73.37,73.73,72.48
2018-08-05,73.21,73.37,73.73,72.48
2018-08-06,73.75,73.21,74.47,73.08
2018-08-07,74.65,73.61,74.9,73.57
2018-08-08,72.28,74.64,74.87,71.65
2018-08-09,72.07,72.16,72.89,71.86
2018-08-10,72.81,71.97,73.14,71.4
2018-08-11,72.81,71.97,73.14,71.4
2018-08-12,72.81,71.97,73.14,71.4
2018-08-13,72.61,73.0,73.09,71.04
2018-08-14,72.46,72.82,73.93,72.16
2018-08-15,70.76,72.22,72.44,70.3
2018-08-16,71.43,70.65,71.52,70.4
2018-08-17,71.83,71.35,72.49,71.25
2018-08-18,71.83,71.35,72.49,71.25
2018-08-19,71.83,71.35,72.49,71.25
2018-08-20,72.21,71.77,72.75,71.42
2018-08-21,72.63,72.15,72.95,72.05
2018-08-22,74.78,72.76,75.0,72.7
2018-08-23,74.73,74.72,74.87,74.21
2018-08-24,75.82,74.73,76.42,74.68
2018-08-25,75.82,74.73,76.42,74.68
2018-08-26,75.82,74.73,76.42,74.68
2018-08-27,76.21,75.54,76.34,75.39
2018-08-28,75.95,76.34,76.97,75.73
2018-08-29,77.14,75.99,77.42,75.67
2018-08-30,77.77,77.33,78.03,77.18
2018-08-31,77.42,77.53,77.79,77.0
2018-09-01,77.42,77.53,77.79,77.0
2018-09-02,77.42,77.53,77.79,77.0
2018-09-03,78.15,77.69,78.44,77.3
2018-09-04,78.17,78.19,79.72,77.44
2018-09-05,77.27,77.82,78.09,76.91
2018-09-06,76.5,77.02,77.77,75.64
2018-09-07,76.83,76.69,77.1,75.88
2018-09-08,76.83,76.69,77.1,75.88
2018-09-09,76.83,76.69,77.1,75.88
2018-09-10,77.37,77.08,77.92,76.9
2018-09-11,79.06,77.38,79.54,77.36
2018-09-12,79.74,79.42,80.13,78.75
2018-09-13,78.18,79.6,79.71,77.87
2018-09-14,78.09,78.45,78.94,77.37
2018-09-15,78.09,78.45,78.94,77.37
2018-09-16,78.09,78.45,78.94,77.37
2018-09-17,78.05,78.07,78.9,77.73
2018-09-18,79.03,77.78,79.73,77.46
2018-09-19,79.4,78.97,79.5,78.51
2018-09-20,78.7,79.44,79.83,78.51
2018-09-21,78.8,78.67,80.12,78.23
2018-09-22,78.8,78.67,80.12,78.23
2018-09-23,78.8,78.67,80.12,78.23
2018-09-24,81.2,78.97,81.48,78.97
2018-09-25,81.87,81.35,82.55,81.17
2018-09-26,81.34,81.45,82.22,81.1
2018-09-27,81.72,81.8,82.44,81.32
2018-09-28,82.72,81.63,82.87,81.6
2018-09-29,82.72,81.63,82.87,81.6
2018-09-30,82.72,81.63,82.87,81.6
2018-10-01,84.98,82.79,85.45,82.55
2018-10-02,84.8,84.95,85.38,84.31
2018-10-03,86.29,84.79,86.74,84.01
2018-10-04,84.58,85.99,86.43,84.14
2018-10-05,84.16,84.89,85.12,83.92
2018-10-06,84.16,84.89,85.12,83.92
2018-10-07,84.16,84.89,85.12,83.92
2018-10-08,83.91,84.17,84.31,82.66
2018-10-09,85.0,83.91,85.45,83.73
2018-10-10,83.09,84.98,85.17,82.26
2018-10-11,80.26,82.47,82.63,79.8
2018-10-12,80.43,80.28,81.48,79.23
2018-10-13,80.43,80.28,81.48,79.23
2018-10-14,80.43,80.28,81.48,79.23
2018-10-15,80.78,81.0,81.92,79.85
2018-10-16,81.41,80.88,81.75,79.8
2018-10-17,80.05,81.74,81.85,79.17
2018-10-18,79.29,80.23,80.31,78.69
2018-10-19,79.78,79.44,80.88,79.22
2018-10-20,79.78,79.44,80.88,79.22
2018-10-21,79.78,79.44,80.88,79.22
